trial,ns
772,42.0
773,42.0
774,41.0
775,41.0
776,42.0
777,41.0
778,40.0
779,43.0
780,41.0
781,40.0
782,43.0
783,41.0
784,40.0
785,42.0
786,42.0
787,41.0
788,41.0
789,42.0
790,41.0
791,41.0
792,43.0
793,43.0
794,41.0
795,40.0
796,42.0
797,40.0
798,41.0
799,42.0
800,42.0
801,41.0
802,40.0
803,41.0
804,43.0
805,41.0
806,40.0
807,41.0
808,42.0
809,41.0
810,42.0
811,41.0
812,42.0
813,41.0
814,41.0
815,42.0
816,43.0
817,40.0
818,42.0
819,42.0
820,42.0
821,43.0
822,41.0
823,40.0
824,42.0
825,42.0
826,41.0
827,42.0
828,42.0
829,43.0
830,42.0
831,41.0
832,41.0
833,41.0
834,42.0
835,41.0
836,41.0
837,40.0
838,41.0
839,42.0
840,42.0
841,41.0
842,42.0
843,40.0
844,43.0
845,41.0
846,41.0
847,41.0
848,41.0
849,42.0
850,43.0
851,42.0
852,41.0
853,41.0
854,41.0
855,42.0
856,43.0
857,42.0
858,41.0
859,41.0
860,40.0
861,41.0
862,43.0
863,40.0
864,42.0
865,41.0
866,41.0
867,41.0
868,41.0
869,41.0
870,42.0
871,41.0
872,43.0
873,40.0
874,41.0
875,42.0
876,41.0
877,43.0
878,43.0
879,42.0
880,41.0
881,42.0
882,41.0
883,40.0
884,41.0
885,42.0
886,41.0
887,43.0
888,42.0
889,42.0
890,41.0
891,42.0
892,40.0
893,41.0
894,41.0
895,40.0
896,42.0
897,43.0
898,42.0
899,42.0
900,42.0
901,41.0
902,41.0
903,41.0
904,41.0
905,40.0
906,42.0
907,42.0
908,42.0
909,42.0
910,42.0
911,40.0
912,41.0
913,41.0
914,41.0
915,42.0
916,41.0
917,42.0
918,41.0
919,42.0
920,41.0
921,42.0
922,41.0
923,42.0
924,41.0
925,42.0
926,40.0
927,41.0
928,42.0
929,42.0
930,42.0
931,42.0
932,41.0
933,41.0
934,42.0
935,43.0
936,42.0
937,41.0
938,41.0
939,40.0
940,43.0
941,41.0
942,42.0
943,41.0
944,42.0
945,41.0
946,40.0
947,43.0
948,43.0
949,40.0
950,42.0
951,41.0
952,42.0
953,42.0
954,41.0
955,40.0
956,42.0
957,40.0
958,41.0
959,42.0
960,42.0
961,41.0
962,41.0
963,41.0
964,42.0
965,41.0
966,40.0
967,43.0
968,42.0
969,41.0
970,42.0
971,42.0
972,41.0
973,41.0
974,42.0
975,41.0
976,41.0
977,42.0
978,43.0
979,40.0
980,42.0
981,43.0
982,40.0
983,41.0
984,41.0
985,42.0
986,42.0
987,42.0
988,41.0
989,41.0
990,42.0
991,43.0
992,41.0
993,41.0
994,42.0
995,41.0
996,41.0
997,42.0
998,41.0
999,41.0
1000,40.0
1001,41.0
1002,41.0
1003,42.0
1004,41.0
1005,42.0
1006,42.0
1007,41.0
1008,41.0
1009,42.0
1010,41.0
1011,42.0
1012,41.0
1013,41.0
1014,42.0
1015,41.0
1016,40.0
1017,43.0
1018,41.0
1019,41.0
1020,42.0
1021,41.0
1022,42.0
1023,41.0
1024,41.0
1025,42.0
1026,41.0
1027,42.0
1028,41.0
1029,40.0
1030,43.0
1031,40.0
1032,41.0
1033,41.0
1034,40.0
1035,42.0
1036,40.0
1037,41.0
1038,41.0
1039,41.0
1040,42.0
1041,42.0
1042,42.0
1043,41.0
1044,41.0
1045,41.0
1046,41.0
1047,42.0
1048,41.0
1049,42.0
1050,41.0
1051,40.0
1052,41.0
1053,42.0
1054,42.0
1055,42.0
1056,41.0
1057,41.0
1058,41.0
1059,41.0
1060,42.0
1061,41.0
1062,41.0
1063,41.0
1064,42.0
1065,41.0
1066,40.0
1067,42.0
1068,41.0
1069,42.0
1070,42.0
1071,40.0
1072,43.0
1073,41.0
1074,40.0
1075,42.0
1076,42.0
1077,41.0
1078,41.0
1079,41.0
1080,41.0
